,Feature,Importance
43,discharge_disposition_psych,0.0020347712495291785
110,med_glipizide_Down,0.00201404294365924
33,race_Asian,0.001999314442761807
68,medical_specialty_Gastroenterology,0.0019332072253212015
115,med_glyburide_Up,0.001882257805252221
135,med_glyburide.metformin_Steady,0.0018772322687979652
102,med_nateglinide_Steady,0.0018622099827706102
75,medical_specialty_Psychiatry,0.0017242655510293777
79,medical_specialty_Urology,0.0016633357126216543
95,med_metformin_Down,0.0015569826712700918
97,med_metformin_Up,0.0015424254434266093
113,med_glyburide_Down,0.001353323492627636
60,admission_source_id_3,0.0013081209675568437
89,primarydiag_nervous,0.001062708277508446
124,med_acarbose_Steady,0.001022644582157333
109,med_glimepiride_Up,0.0010021439063422758
100,med_repaglinide_Up,0.000864882065529698
26,diabfeat_hyperosmolarity,0.0008553836077130582
107,med_glimepiride_Down,0.000797397460535871
119,med_pioglitazone_Up,0.0007922870458731183
74,medical_specialty_Pediatrics,0.0006673796481450625
122,med_rosiglitazone_Up,0.0006309137942939135
70,medical_specialty_OBGYN,0.0006264828521149082
91,primarydiag_pregnancy,0.0005610872780097654
20,diag_pregnancy,0.0005239404351915181
117,med_pioglitazone_Down,0.0003388264582259631
25,diabfeat_coma,0.0003147089440274531
105,med_chlorpropamide_Steady,0.0003124011006120701
120,med_rosiglitazone_Down,0.0002621189621485836
129,med_tolazamide_Steady,0.0002484925956074881
98,med_repaglinide_Down,0.00020164711052562186
127,med_miglitol_Steady,0.00012271082690265935
126,med_miglitol_Down,9.8074793750996e-05
137,med_glipizide.metformin_Steady,9.396783268565646e-05
103,med_nateglinide_Up,8.608054072758302e-05
125,med_acarbose_Up,8.572511821905395e-05
55,admission_type_id_4,8.544639863171152e-05
116,med_tolbutamide_Steady,7.81334194425629e-05
101,med_nateglinide_Down,6.256332731634005e-05
134,med_glyburide.metformin_Down,5.2546007523814696e-05
57,admission_type_id_7,1.139810808919145e-05
136,med_glyburide.metformin_Up,1.9645846282822427e-06
128,med_miglitol_Up,1.059820294446449e-06
130,med_tolazamide_Up,5.568066859991718e-07
106,med_chlorpropamide_Up,4.0093504160974635e-07
104,med_chlorpropamide_Down,2.0589364369994434e-08
123,med_acarbose_Down,0.0
